IdBoca,CodigoInterno,DescripcionCortaDelArticulo,DescripcionLargaDelArticulo,CodigoEAN,Categoria,Subcategoria,PrecioActual,Fecha,marca
1777,0204013,ciga lucky click mix pack box picc 20 un,ciga lucky click mix pack box picc 20 un,77950055,TABACO,CIGARRILLOS,61,2022-03-17,box
1777,0204034,huevitos tripack disney,huevitos tripack disney,null,KIOSCO,CHOCOLATES,10,2022-03-17,disney
378,0102039,cabsha flow pack x 32 gr,cabsha flow pack x 32 gr,null,RUBRO GENERAL,GOLOSINAS VARIAS,4,2022-03-17,cabsha
656,0110801,acondicionador dove doy pack x180ml.,acondicionador dove doy pack x180ml.,7791293039091,RUBRO GENERAL,HIGIENE PERSONAL,145.36,2022-03-17,dove
840,016,pack masa selva / granja,pack masa selva / granja,null,SHOP,JUGUETES,"145,000000",2022-02-19,null
1306,0303419,cepillo colgate pack x2,cepillo colgate pack x2,7702010631207,MINIMERCADO,MINIMERCARDO,450,2022-03-17,colgate
1667,2770,pack fanta 6x1.5lts,pack fanta 6x1.5lts,null,SHOP,SHOP - PRODUCTOS CON PRECIO ESPECIAL,"900,000000",2022-03-12,fanta
1667,2777,pack lata coca cola zero 6x310cc,pack lata coca cola zero 6x310cc,null,SHOP,SHOP - PRODUCTOS CON PRECIO ESPECIAL,"350,000000",2022-03-12,coca
1689,0100733,serranita oferta x 315 gs pack x 3 uni,serranita oferta x 315 gs pack x 3 uni,7790380006190,RUBRO GENERAL 2,GALLETAS,1.8,2022-03-17,null
2014,0603929,flan ser tentacion pack x 2 210gr,flan ser tentacion pack x 2 210gr,null,RUBRO GENERAL,ART. LACTEOS,6,2022-03-17,ser
2057,0314566,criollitas pack x 3,criollitas pack x 3,null,GENERAL,GOLOSINAS,140,2022-03-18,criollitas
1667,2768,pack gaseosa 6x1.5lts,pack gaseosa 6x1.5lts,null,SHOP,SHOP - PRODUCTOS CON PRECIO ESPECIAL,"1200,000000",2022-03-12,null
1667,2776,pack gaseosa lata 6x310cc,pack gaseosa lata 6x310cc,null,SHOP,SHOP - PRODUCTOS CON PRECIO ESPECIAL,"500,000000",2022-03-12,null
1777,0202485,postre flan ser tentacion pack x choco,postre flan ser tentacion pack x chocolate 210 gr,7791337915817,"LACTEOS, REFRIGERADOS Y CONGELADOS",POSTRES LACTEOS,65,2022-03-17,ser
2014,0200286,* ciga viceroy n.pack ks picc 20 un,* ciga viceroy n.pack ks picc 20 un,null,TABACO,CIGARRILLOS,0,2022-03-17,viceroy
2014,0203308,* yerba cruz de malta eco pack 500 gr,* yerba cruz de malta eco pack 500 gr,null,GONDOLA,ALMACEN,0,2022-03-17,cruz de malta
1182,0000501,pack leã±a quebracho x10,pack leã±a quebracho x10,7798003690054,GENERAL,VARIOS P,550,2022-03-17,null
1432,0102324,nescafe doypack x 150gr,nescafe doypack x 150gr,null,RUBRO GENERAL 2,PRODUCTOS DEL HOGAR,340,2022-03-17,nescafe
1667,2778,pack lata sprite 6x310cc,pack lata sprite 6x310cc,null,SHOP,SHOP - PRODUCTOS CON PRECIO ESPECIAL,"350,000000",2022-03-12,sprite
