IdBoca,CodigoInterno,DescripcionCortaDelArticulo,DescripcionLargaDelArticulo,CodigoEAN,Categoria,Subcategoria,PrecioActual,Fecha,marca
1667,3140,pack linea coca cola x500cc (6 unidades),pack linea coca cola x500cc (6 unidades),null,SHOP,SHOP - PRODUCTOS CON PRECIO ESPECIAL,"300,000000",2022-03-12,coca
1689,0100230,express tripack x 324 gr,express tripack x 324 gr,7794600003136,RUBRO GENERAL 2,GALLETAS,4.25,2022-03-17,express
1873,2346,toallas lina pack x 16,toallas lina pack x 16,7793620003386,FAMILIA UNICA,DRUGSTORE,"120,000000",2022-03-12,lina
1898,4386,servilleta elite 150 uni x 40 pack 20x11,servilleta elite 150 uni x 40 pack 20x11,1,Insumos,Insumos,"0,01",2022-03-16,elite
2014,0203196,* promo red bull 4pack x $49.00 seoc13 1,* promo red bull 4pack x $49.00 seoc13 1 un,null,BEBIDAS,ENERGIZANTES,0,2022-03-17,red bull
2014,0206520,* ciga chesterfield jumbo pack chesterfi,* ciga chesterfield jumbo pack chesterfield fresh box 20 pac,null,TABACO,CIGARRILLOS,0,2022-03-17,chesterfield
2013,0306863,pack gase coca cola 1.5lx8uni,pack gase coca cola 1.5lx8uni,23912,PRODUCTOS ESENCIALES,BEBIDAS,1320,2022-03-17,coca
2014,0201044,* energizante red bull four pack lata 1,* energizante red bull four pack lata 1 un,null,BEBIDAS,ENERGIZANTES,0,2022-03-17,red bull
2014,0205915,* ciga parliament pack x mass 3 un,* ciga parliament pack x mass 3 un,null,TABACO,CIGARRILLOS,0,2022-03-17,mass
2057,0319218,serenito flan pack x 2 200gr,serenito flan pack x 2 200gr,null,GENERAL,BAZAR/REGALO,45,2022-03-18,serenito
378,0103678,quilmes lata x 473 cc ( pack x 6 unid.),quilmes lata x 473 cc ( pack x 6 unid.),null,RUBRO GENERAL,BEBIDAS C/ALCOHOL,900,2022-03-17,quilmes
1689,0103681,cerveza lata andes x pack 6 clasica,cerveza lata andes x pack 6 clasica,null,RUBRO GENERAL 2,BEBIDAS CON ALCOHOL,600,2022-03-17,andes
656,0103694,la virginia cappuccino doy pack x125gr.,la virginia cappuccino doy pack tradi.x125gr.,7790150160701,RUBRO GENERAL,ALMACEN,200,2022-03-17,la virginia
840,1705,pack cercrin franela rejilla y cepillo,pack cercrin franela rejilla y cepillo,null,SHOP,ACCESORIOS Y COSMETICA,"1970,000000",2022-02-19,null
1667,2774,pack schweppes pomelo 6x1.5lts,pack schweppes pomelo 6x1.5lts,null,SHOP,SHOP - PRODUCTOS CON PRECIO ESPECIAL,"900,000000",2022-03-12,schweppes
1689,0102155,criollitas pack x 3,criollitas pack x 3,null,RUBRO GENERAL 2,GALLETAS,4.5,2022-03-17,criollitas
1777,0225775,gall criollitas x 5 pack familiar,gall criollitas x 5 pack familiar,7790040377905,GONDOLA,GALLETITAS,390,2022-03-17,criollitas
146,3136,papel higienico scott esencias pack x4,papel higienico scott esencias pack x4,7794626999215,FARMACIA E HIGIENE,HIGIENE Y VARIOS,"240,000000",2021-09-25,scott
146,735,heineken 473cc promo pack x6,heineken 473cc promo pack x6,null,BEBIDAS,BEBIDAS CERVEZAS,"300,000000",2021-09-25,heineken
1777,0203498,mini rocklets d-pack 200 grs,mini rocklets d-pack 200 grs,7790580312312,GONDOLA,CHOCOLATES,43,2022-03-17,rocklets
2014,0115729,pack gase coca cola 1.5 lt x 6 un andina,pack gase coca cola 1.5 lt x 6 un andina 6 un,32588,PRODUCTOS ESENCIALES,BEBIDAS,695,2022-03-17,coca
2014,0200242,* ciga viceroy n.pack box picc 20 un,* ciga viceroy n.pack box picc 20 un,null,TABACO,CIGARRILLOS,0,2022-03-17,viceroy
2014,0203652,* promo flan pack x $10.00 enfe14 1 un,* promo flan pack x $10.00 enfe14 1 un,null,"LACTEOS, REFRIGERADOS Y CONGELADOS",POSTRES LACTEOS,0,2022-03-17,null
1667,2783,pack monster mango 6x473cc,pack monster mango 6x473cc,null,SHOP,SHOP - PRODUCTOS CON PRECIO ESPECIAL,"750,000000",2022-03-12,monster
1689,0103661,cerveza corona x pack 6 unidad caja,cerveza corona x pack 6 unidad caja,null,RUBRO GENERAL 2,BEBIDAS CON ALCOHOL,850,2022-03-17,corona
2014,0115723,pack leche tregar 12 un,pack leche tregar 12 un,23916,PRODUCTOS ESENCIALES,LACTEOS,840,2022-03-17,tregar
2014,0215298,pack gase coca cola 1.5 lt x 6 un andina,pack gase coca cola 1.5 lt x 6 un andina 6 un,null,BEBIDAS,GASEOSAS,0,2022-03-17,coca
2014,0215817,deli cerv andes roja 473cc pack x 6 un,deli cerv andes roja 473cc pack x 6 un,null,BEBIDAS,BEBIDAS CON ALCOHOL,495,2022-03-17,deli
2014,0215819,cerv stella artois rubia 473cc pack x 6,cerv stella artois rubia 473cc pack x 6 un,null,BEBIDAS,BEBIDAS CON ALCOHOL,0,2022-03-17,stella artois
840,427,mickey magic pack sorpresa,mickey magic pack sorpresa,7798158200429,SHOP,KIOSCO Y GOLOSINAS,"10,000000",2022-02-19,magic
840,659,pack automotor cercrin,pack automotor cercrin,null,SHOP,ACCESORIOS Y COSMETICA,"400,000000",2022-02-19,null
1432,0100713,serranita oferta x 315 g pack x 3,serranita oferta x 315 g pack x 3,null,RUBRO GENERAL 2,GALLETAS,1.8,2022-03-17,null
1689,0101733,promo pack lays,promo pack lays,null,RUBRO GENERAL 2,SNACKS,6,2022-03-17,lays
1852,7567,pack cercrin,pack cercrin,7791782008003,REPUESTOS,PRODUCTOS VARIOS,"2000,000000",2022-03-12,null
2014,0215184,pack leche ilolay 12 un,pack leche ilolay 12 un,null,"LACTEOS, REFRIGERADOS Y CONGELADOS",LECHES,0,2022-03-17,ilolay
2014,0215193,pack leche tregar 12 un,pack leche tregar 12 un,null,"LACTEOS, REFRIGERADOS Y CONGELADOS",LECHES,0,2022-03-17,tregar
2014,0215227,pack las tres niãas 12 un,pack las tres niãas 12 un,null,"LACTEOS, REFRIGERADOS Y CONGELADOS",LECHES,0,2022-03-17,null
2014,0215695,suav. vivere d.pack 900 ml,suav. vivere d.pack 900 ml,null,GONDOLA,ALMACEN,0,2022-03-17,null
2014,0215720,pack gase coca cola 1.5 lt reginald lee,pack gase coca cola 1.5 lt reginald lee 8 un,null,PRODUCTOS ESENCIALES,BEBIDAS,910,2022-03-17,coca
656,0110353,cappuccino la morenita doypack x125gr.,cappuccino la morenita doypack x125gr.,null,RUBRO GENERAL,ALMACEN,190,2022-03-17,la morenita
1667,10211,miga miga pack x 4,miga miga pack x 4,7798007750211,SHOP,SHOP - SANDWICHES ENVASADOS,"170,000000",2022-03-12,null
1667,3150,desinfectante lysoform doy pack x420ml,desinfectante lysoform doy pack x420ml,7790520024954,ALMACEN,ALMACEN - PRODUCTOS DE LIMPIEZA,"150,000000",2022-03-12,lysoform
2014,0115722,pack las tres niãas 12 un,pack las tres niãas 12 un,23915,PRODUCTOS ESENCIALES,LACTEOS,871,2022-03-17,null
2014,0215753,suav. vivere d.pack 900 ml,suav. vivere d.pack 900 ml,null,PRODUCTOS ESENCIALES,"LIMPIEZA,FARM,PERFU",126,2022-03-17,null
378,0100840,serrana oferta pack x 3,serrana oferta pack x 3,7790580770907,RUBRO GENERAL,GALLETAS,1.8,2022-03-17,null
840,719,serenito flan crash pack 200g,serenito flan crash pack 200g,null,SHOP,LACTEOS,"230,000000",2022-02-19,serenito
1667,1353,miga miga big pack x6                                    *12,miga miga big pack x6                                    *12,7798007750105,SHOP,SHOP - SANDWICHES ENVASADOS,"230,000000",2022-03-12,null
1689,0103432,alfajor flowpack cachafaz x 6 unidades,alfajor flowpack cachafaz x 6 unidades,null,ALFAJORES,GOLOSINAS,610,2022-03-17,cachafaz
1689,0103663,cerveza patagonia x pack 6 unidades,cerveza patagonia x pack 6 unidades,null,RUBRO GENERAL 2,BEBIDAS CON ALCOHOL,900,2022-03-17,patagonia
